mz,cluster,fold_change,p_value,p_adjusted,significant
790.9118352851619,1,0.1584,0.0,0.0,True
812.9578263367223,1,1.8978,0.0,0.0,True
812.9665831224094,1,3.15,0.0,0.0,True
812.9753400495831,1,3.5044,0.0,0.0,True
812.9840971182466,1,3.5686,0.0,0.0,True
812.9928543284028,1,3.5765,0.0,0.0,True
813.0016116800549,1,3.5601,0.0,0.0,True
813.0103691732058,1,3.5172,0.0,0.0,True
813.0191268078587,1,3.3081,0.0,0.0,True
813.0278845840165,1,2.5686,0.0,0.0,True
813.0366425016823,1,1.1132,0.0,0.0,True
852.0928451514911,1,0.4614,1.0,1.0,False
852.1022418045337,1,0.4767,1.0,1.0,False
852.1116386130129,1,0.4871,1.0,1.0,False
852.1210355769324,1,0.4844,1.0,1.0,False
852.1304326962953,1,0.484,1.0,1.0,False
852.1398299711052,1,0.4847,1.0,1.0,False
852.1492274013656,1,0.4866,1.0,1.0,False
852.1586249870797,1,0.4915,1.0,1.0,False
852.1680227282512,1,0.5045,1.0,1.0,False
852.1774206248833,1,0.5087,1.0,1.0,False
852.1868186769797,1,0.4806,1.0,1.0,False
852.1962168845434,1,0.3465,1.0,1.0,False
988.0915671214094,1,0.5351,1.0,1.0,False
988.1033009289303,1,0.6013,1.0,1.0,False
988.1150349454649,1,0.5923,1.0,1.0,False
988.1267691710184,1,0.577,1.0,1.0,False
988.1385036055954,1,0.5717,1.0,1.0,False
988.150238249201,1,0.5707,1.0,1.0,False
988.1619731018404,1,0.5711,1.0,1.0,False
988.1737081635182,1,0.573,1.0,1.0,False
988.1854434342396,1,0.581,1.0,1.0,False
988.1971789140094,1,0.5885,1.0,1.0,False
988.2089146028328,1,0.5743,1.0,1.0,False
988.2206505007146,1,0.489,1.0,1.0,False
404.11113251199816,2,1.908,0.0,0.0,True
426.92781535359995,2,0.1781,1.0,0.0,True
431.0345099462449,2,1.4024,0.0,0.0,True
432.72813985723457,2,0.0582,1.0,0.0,True
438.6821886861965,2,0.0299,1.0,0.0,True
444.0892518422045,2,2.54,0.0,0.0,True
454.73288180250995,2,0.0187,1.0,0.0,True
467.1014525445848,2,0.3128,1.0,0.0,True
468.1003519862767,2,0.3986,1.0,0.0,True
470.86921302312896,2,0.0934,1.0,0.0,True
476.809403664099,2,0.5288,1.0,0.0,True
494.97073614090664,2,0.0923,1.0,0.0,True
496.72053684989066,2,0.1181,1.0,0.0,True
518.8395487898592,2,0.1638,1.0,0.0,True
522.9512218464823,2,0.3035,1.0,0.0,True
523.9556260802802,2,0.3029,1.0,0.0,True
533.1409042523692,2,0.5433,0.9996011,0.0,True
533.4130639543625,2,0.473,1.0,0.0,True
541.1189524230358,2,0.3311,1.0,0.0,True
541.7876911980454,2,0.0979,1.0,0.0,True
559.0147875863202,2,0.0539,1.0,0.0,True
560.0147551319774,2,0.1967,1.0,0.0,True
580.1078557464725,2,2.8486,0.0,0.0,True
610.6194610344274,2,0.0721,1.0,0.0,True
632.7353882851897,2,0.1136,1.0,0.0,True
633.0361322510867,2,0.0557,1.0,0.0,True
634.0361413582776,2,0.0397,1.0,0.0,True
635.0294536125151,2,0.0329,1.0,0.0,True
658.845290930692,2,0.1545,1.0,0.0,True
658.9666934717421,2,0.3709,1.0,0.0,True
676.7454077383637,2,0.1207,1.0,0.0,True
676.9715932394122,2,0.5165,1.0,0.0,True
686.6087240359386,2,0.5272,1.0,0.0,True
707.0289325144547,2,0.0928,1.0,0.0,True
707.0360347998072,2,0.0363,1.0,0.0,True
707.0431371921768,2,0.0254,1.0,0.0,True
707.0502396915656,2,0.022,1.0,0.0,True
707.0573422979759,2,0.0221,1.0,0.0,True
707.0644450114096,2,0.0242,1.0,0.0,True
707.071547831869,2,0.0335,1.0,0.0,True
707.0786507593563,2,0.0933,1.0,0.0,True
708.0385293879556,2,0.0893,1.0,0.0,True
708.0456468912846,2,0.0615,1.0,0.0,True
708.0527645019365,2,0.0496,1.0,0.0,True
708.0598822199136,2,0.0461,1.0,0.0,True
708.0670000452178,2,0.0521,1.0,0.0,True
708.0741179778515,2,0.0964,1.0,0.0,True
712.6373313488076,2,0.0223,1.0,0.0,True
712.6445183085536,2,0.0169,1.0,0.0,True
